CtrlEmilio_I CtrlEmilio_II CtrlEmilio_III SIPEmilio_I SIPEmilio_II SIPEmilio_III
Sro1008_g230500 71.4617108656793 105.115125942248 98.1759603983065 50.7571336278196 36.1272027153812 29.9890608897622
Sro1008_g230510 8.73827578447167 7.30830017645809 7.13519275025943 7.94875866246986 19.8602498798265 8.02092429249175
Sro1008_g230520 8.6467755144772 3.31724263328594 4.39914139489679 6.94319280757909 1.55385818130672 11.6482212655294
Sro1008_g230530 35.5021047578535 26.797100647013 25.6974235140922 57.7482105237268 28.8920505586718 61.9194919904459
Sro1008_g230540 1.18950350992808 1.50312556820769 1.18025744741133 0.191536353312527 0.29134840899501 0.408709518088752
Sro1008_g230550 0.228750674986169 0.414655329160743 0.321888394748546 0.0478840883281317 0.242790340829175 0.102177379522188
Sro1008_g230560 2.05875607487552 0.570151077596021 1.28755357899418 0.191536353312527 0.19423227266334 0.459798207849846
Sro1008_g230570 4.94101457970126 3.36907454943103 4.23819719752252 2.20266806309406 5.77841011173436 1.53266069283282
Sro1008_g230580 7.27427146456019 5.70151077596021 4.39914139489679 3.59130662460988 8.15775545186027 8.12310167201394
Sro1008_g230590 3.29400971980084 5.90883844054058 4.98927011860246 4.6926406561569 17.0924399943739 3.98491780136533
Sro1008_g230600 10.8427819943444 6.37532568584642 8.31545019767077 14.6046469400802 3.98176158959847 15.0711634795227
Sro1008_g230610 6.22201835962381 2.9025873041252 3.27253201327688 4.45322021451625 0.776929090653359 8.53181119010269
Sro1008_g230620 23.8815704685561 14.3056088560456 16.0407716716359 19.6803603028621 19.7631337434948 24.3693050160418
Sro1008_g230630 0.320250944980637 0.103663832290186 0.160944197374273 0.191536353312527 0.145674204497505 0.408709518088752
Sro1008_g230640 64.5991906160942 50.3806224930302 53.1652331993015 20.6380420694248 7.42938442937275 22.4790234948813
Sro1009_g230650 39.8483675825907 37.2153157921767 31.9742472116889 26.7672053754256 25.9785664687217 33.718535242322
Sro1009_g230660 0 0 0 0 0 0
Sro1009_g230670 19.3065569688327 19.1778089736844 12.8218877241504 15.0356037350333 43.7508194174173 21.8659592177482
Sro1009_g230680 22.0515650686667 18.6594898122334 38.5729593040341 30.166975646723 31.465628171461 29.2738192331068
Sro1009_g230690 0.686252024958508 0.207327664580371 0.482832592122819 0.0478840883281317 0.048558068165835 0.408709518088752
Sro1009_g230700 3.56851052978424 2.64342772339974 4.23819719752252 1.72382717981274 1.16539363598004 5.61975587372033
Sro1009_g230710 11.3002833443168 6.58265335042679 6.81330435551089 18.5790262713151 6.45822306605605 24.1138615672363
Sro1009_g230720 0.503251484969573 1.03663832290186 0.965665184245637 1.72382717981274 0.19423227266334 2.29899103924923
Sro1009_g230730 0.411751214975105 0.881142574466578 0.697424855288516 0.0957681766562633 0 0.25544344880547
Sro1009_g230740 0 0 0 0 0 0.102177379522188
Sro1009_g230750 8.53887478183906 11.4095292563201 15.5672657421028 10.0108942525864 23.0397510913515 11.5330716502579
Sro1009_g230760 0 0 0.107296131582849 0 0.048558068165835 0
Sro1009_g230770 0.137250404991702 0.0518319161450928 0.268240328957121 0.0957681766562633 1.21395170414587 0.153266069283282
Sro100_g051080 21.2738127737138 10.5737108935989 33.7446333828059 4.93206109779756 38.3608738510096 5.31322373515377
Sro100_g051090 17.9798030539129 7.9821150863443 14.7532180926417 13.0244720252518 3.59329704427179 15.786405136178
Sro100_g051100 7.91477335452146 4.3538809561878 4.61373365806249 6.36858374764151 1.26250977231171 10.4731814010243
Sro100_g051110 3.1110091798119 2.07327664580371 4.82832592122819 1.72382717981274 2.37934534012591 3.11641007542673
Sro100_g051120 4.43776309473169 1.71045323278806 9.38841151349925 1.53229082650021 0.922603295150864 1.6859267621161
Sro100_g051130 2.19600647986723 2.07327664580371 1.34120164478561 1.48440673817208 1.1168355678142 3.11641007542673
Sro100_g051140 0 0.155495748435279 0.107296131582849 0.0957681766562633 0.048558068165835 0.408709518088752
Sro100_g051150 3.01950890981744 2.02144472965862 4.18454913173109 1.67594309148461 1.45674204497505 1.07286248498297
Sro100_g051160 126.956624617324 160.316116636772 125.912010412473 125.07323871308 155.822840744164 91.908552880208
Sro100_g051170 0.0457501349972339 0.0259159580725464 0.0536480657914243 0 0 0
Sro100_g051180 9.56177821442188 6.27166185355623 13.0901280531075 13.0723561135799 22.5795016971133 6.53935228942003
Sro100_g051190 0 0 0 0 0 0
Sro100_g051200 0 0 0 0 0 0
Sro100_g051210 2.8365083698285 2.07327664580371 3.05793975011118 4.11803159621932 5.53561977090518 1.73701545187719
Sro100_g051220 0.640501889961274 0.207327664580371 0.429184526331394 0.28730452996879 0.145674204497505 0.715241656655315
Sro100_g051230 18.6203049438742 10.7810385581793 15.2360506847645 14.7004151167364 28.843492490506 16.8081789313999
Sro100_g051240 10.3395305093749 19.1259770575393 15.5042910137216 5.41090198107888 16.2669528355547 11.0351569883963
Sro100_g051250 0.366001079977871 0.155495748435279 0.0536480657914243 0.239420441640658 0.0971161363316699 0.306532138566564
Sro100_g051260 74.0694685605216 40.9990456707684 54.8283232388356 8.52336772240744 8.20631352002611 12.6699950607513
Sro100_g051270 56.73016739657 71.3207166156478 52.7896967387615 59.998762675149 88.7155905389805 39.6448232546089
Sro100_g051280 20.7705612887442 14.4092726883358 12.392703197819 17.0467354448149 4.51590033942265 21.6616044587038
Sro100_g051290 23.286818713592 36.0750136369846 28.8090113299948 18.7226785362995 64.3879983878971 24.0627728774753
Sro100_g051300 5.3985159296736 5.8051746082504 6.59871209234519 3.54342253628174 2.33078727196008 3.78056304232095
Sro100_g051310 12.6270372592365 22.7542111876958 12.768239658359 19.9197807445028 22.5309436289474 21.7126931484649
Sro100_g051320 0 0 0 0 0 0
Sro100_g051330 1.83000539988935 0.673814909886207 3.70171653960828 0.430956794953185 0.874045226985029 0.51088689761094
Sro100_g051340 3.2482595848036 2.22877239423899 14.0557932373532 28.730452996879 40.7887772593014 25.2378127419804
