padjScreen t15 t1 t3
Sro1078_g238710 0 0 0 0
Sro1078_g238760 0 0 0 0
Sro1079_g238850 0 0 0 0
Sro107_g053720 0 0 0 0
Sro107_g053760 0 0 0 0
Sro107_g053900 0 0 0 0
Sro1080_g238970 0 0 0 0
Sro1080_g239000 0 0 0 0
Sro1080_g239010 0 0 0 0
Sro1081_g239030 0 0 0 0
Sro1081_g239060 0 0 0 0
Sro1081_g239120 0 0 0 0
Sro1081_g239130 0 0 0 0
Sro1081_g239140 0 0 0 0
Sro1081_g239150 0 0 0 0
Sro1082_g239170 0 0 0 0
Sro1082_g239220 0 0 0 0
Sro1083_g239360 0 0 0 0
Sro1085_g239590 0 0 0 0
Sro1085_g239610 0 0 0 0
Sro1086_g239760 0 0 0 0
Sro1088_g239980 0 0 0 0
Sro1088_g240030 0 0 0 0
Sro1089_g240060 0 0 0 0
Sro1089_g240080 0 0 0 0
Sro108_g054060 0 0 0 0
Sro108_g054110 0 0 0 0
Sro108_g054180 0 0 0 0
Sro108_g054220 0 0 0 0
Sro108_g054260 0 0 0 0
Sro108_g054310 0 0 0 0
Sro108_g054330 0 0 0 0
Sro108_g054360 0 0 0 0
Sro1090_g240120 0 0 0 0
Sro1090_g240150 0 0 0 0
Sro1090_g240210 0 0 0 0
Sro1091_g240250 0 0 0 0
Sro1093_g240400 0 0 0 0
Sro1093_g240410 0 0 0 0
Sro1093_g240420 0 0 0 0
Sro1093_g240430 1 0 0 1
Sro1093_g240440 0 0 0 0
Sro1094_g240580 0 0 0 0
Sro1095_g240620 0 0 0 0
Sro1095_g240640 0 0 0 0
Sro1095_g240670 0 0 0 0
Sro1095_g240680 0 0 0 0
Sro1095_g240720 0 0 0 0
Sro1096_g240820 0 0 0 0
Sro1097_g240830 0 0 0 0
Sro1098_g240960 0 0 0 0
Sro1099_g241050 0 0 0 0
Sro1099_g241110 0 0 0 0
Sro1099_g241150 0 0 0 0
Sro1099_g241200 0 0 0 0
Sro109_g054420 0 0 0 0
Sro109_g054600 0 0 0 0
Sro109_g054680 0 0 0 0
Sro10_g007800 0 0 0 0
Sro10_g007820 0 0 0 0
Sro10_g007900 0 0 0 0
Sro10_g007940 0 0 0 0
Sro10_g007960 0 0 0 0
Sro10_g008010 0 0 0 0
Sro10_g008020 0 0 0 0
Sro10_g008120 0 0 0 0
Sro10_g008130 0 0 0 0
Sro10_g008140 0 0 0 0
Sro10_g008230 0 0 0 0
Sro10_g008240 0 0 0 0
Sro10_g008370 0 0 0 0
Sro1100_g241210 0 0 0 0
Sro1100_g241270 0 0 0 0
Sro1100_g241290 0 0 0 0
Sro1100_g241300 0 0 0 0
Sro1101_g241350 0 0 0 0
Sro1101_g241370 0 0 0 0
Sro1101_g241380 0 0 0 0
Sro1101_g241400 0 0 0 0
Sro1101_g241410 0 0 0 0
Sro1101_g241450 0 0 0 0
Sro1101_g241470 0 0 0 0
Sro1101_g241490 0 0 0 0
Sro1102_g241520 0 0 0 0
Sro1102_g241630 0 0 0 0
Sro1103_g241680 0 0 0 0
Sro1103_g241710 0 0 0 0
Sro1103_g241750 0 0 0 0
Sro1103_g241760 0 0 0 0
Sro1104_g241770 0 0 0 0
Sro1104_g241860 0 0 0 0
Sro1105_g241890 0 0 0 0
Sro1105_g241920 0 0 0 0
Sro1106_g242030 0 0 0 0
Sro1107_g242110 0 0 0 0
Sro1108_g242150 0 0 0 0
Sro1109_g242240 0 0 0 0
Sro1109_g242360 0 0 0 0
Sro1109_g242370 0 0 0 0
Sro110_g054730 0 0 0 0
Sro110_g054740 0 0 0 0
Sro110_g054750 0 0 0 0
Sro110_g054760 0 0 0 0
Sro110_g054820 0 0 0 0
Sro110_g054860 0 0 0 0
Sro110_g054900 0 0 0 0
Sro110_g054970 0 0 0 0
Sro110_g054980 0 0 0 0
Sro110_g055060 0 0 0 0
Sro110_g055080 0 0 0 0
Sro1111_g242390 0 0 0 0
Sro1111_g242410 0 0 0 0
Sro1111_g242490 0 0 0 0
Sro1113_g242610 0 0 0 0
Sro1113_g242620 0 0 0 0
Sro1113_g242680 0 0 0 0
Sro1113_g242690 1 0 0 1
Sro1113_g242720 0 0 0 0
Sro1113_g242740 0 0 0 0
Sro1114_g242780 0 0 0 0
Sro1116_g242900 0 0 0 0
Sro1117_g242990 0 0 0 0
Sro1117_g243030 0 0 0 0
Sro1118_g243060 0 0 0 0
Sro1119_g243240 0 0 0 0
Sro111_g055220 0 0 0 0
Sro111_g055230 0 0 0 0
Sro111_g055280 0 0 0 0
Sro111_g055290 0 0 0 0
Sro111_g055360 0 0 0 0
Sro111_g055420 0 0 0 0
Sro111_g055440 0 0 0 0
