padjScreen t15 t1 t3
Sro11_g008900 0 0 0 0
Sro11_g008910 0 0 0 0
Sro11_g009020 0 0 0 0
Sro1200_g251830 0 0 0 0
Sro1206_g252330 0 0 0 0
Sro1207_g252440 0 0 0 0
Sro1207_g252450 0 0 0 0
Sro120_g058290 0 0 0 0
Sro120_g058590 0 0 0 0
Sro120_g058610 0 0 0 0
Sro1211_g252840 0 0 0 0
Sro1213_g252970 0 0 0 0
Sro1214_g253010 0 0 0 0
Sro1214_g253030 0 0 0 0
Sro1215_g253110 0 0 0 0
Sro1215_g253160 0 0 0 0
Sro1218_g253330 0 0 0 0
Sro121_g058770 0 0 0 0
Sro121_g058880 0 0 0 0
Sro121_g058910 0 0 0 0
Sro121_g058920 0 0 0 0
Sro1220_g253590 0 0 0 0
Sro1221_g253620 0 0 0 0
Sro1221_g253660 0 0 0 0
Sro1221_g253700 0 0 0 0
Sro1222_g253780 0 0 0 0
Sro1223_g253910 0 0 0 0
Sro1224_g253970 0 0 0 0
Sro1224_g253980 0 0 0 0
Sro1224_g254010 0 0 0 0
Sro1226_g254180 0 0 0 0
Sro1226_g254260 0 0 0 0
Sro1228_g254430 0 0 0 0
Sro1229_g254500 0 0 0 0
Sro122_g059250 0 0 0 0
Sro122_g059300 0 0 0 0
Sro1230_g254570 0 0 0 0
Sro1231_g254630 0 0 0 0
Sro1231_g254640 0 0 0 0
Sro1235_g254980 0 0 0 0
Sro1235_g254990 0 0 0 0
Sro1236_g255110 0 0 0 0
Sro1236_g255120 0 0 0 0
Sro1238_g255210 0 0 0 0
Sro123_g059400 0 0 0 0
Sro123_g059550 0 0 0 0
Sro123_g059710 0 0 0 0
Sro1242_g255520 0 0 0 0
Sro1245_g255750 0 0 0 0
Sro1246_g255790 0 0 0 0
Sro1247_g255840 0 0 0 0
Sro1247_g255870 0 0 0 0
Sro1247_g255880 0 0 0 0
Sro1247_g255890 0 0 0 0
Sro1247_g255910 0 0 0 0
Sro124_g059790 0 0 0 0
Sro124_g059810 0 0 0 0
Sro124_g059960 0 0 0 0
Sro1251_g256110 0 0 0 0
Sro1251_g256150 0 0 0 0
Sro1253_g256330 0 0 0 0
Sro1253_g256340 0 0 0 0
Sro1256_g256560 0 0 0 0
Sro1256_g256590 0 0 0 0
Sro125_g060070 0 0 0 0
Sro125_g060140 0 0 0 0
Sro125_g060290 0 0 0 0
Sro1263_g257220 0 0 0 0
Sro1263_g257290 0 0 0 0
Sro1264_g257360 0 0 0 0
Sro1266_g257590 0 0 0 0
Sro1267_g257630 0 0 0 0
Sro1267_g257690 0 0 0 0
Sro1267_g257710 0 0 0 0
Sro1269_g257820 0 0 0 0
Sro126_g060470 0 0 0 0
Sro126_g060620 0 0 0 0
Sro126_g060650 0 0 0 0
Sro126_g060670 0 0 0 0
Sro1270_g257930 0 0 0 0
Sro1270_g257980 0 0 0 0
Sro1271_g258060 0 0 0 0
Sro1271_g258070 0 0 0 0
Sro1271_g258110 0 0 0 0
Sro1271_g258150 0 0 0 0
Sro1272_g258250 0 0 0 0
Sro1275_g258480 0 0 0 0
Sro1276_g258540 0 0 0 0
Sro1276_g258590 0 0 0 0
Sro1279_g258820 0 0 0 0
Sro127_g060730 0 0 0 0
Sro127_g060750 0 0 0 0
Sro127_g060840 0 0 0 0
Sro127_g060870 0 0 0 0
Sro1282_g258980 0 0 0 0
Sro1282_g258990 0 0 0 0
Sro1282_g259000 0 0 0 0
Sro1285_g259270 0 0 0 0
Sro1285_g259330 0 0 0 0
Sro1285_g259340 0 0 0 0
Sro1285_g259350 0 0 0 0
Sro1286_g259400 0 0 0 0
Sro1286_g259420 0 0 0 0
Sro1289_g259690 0 0 0 0
Sro128_g061150 0 0 0 0
Sro1290_g259860 0 0 0 0
Sro1292_g259990 0 0 0 0
Sro1293_g260080 0 0 0 0
Sro1296_g260330 0 0 0 0
Sro1296_g260380 0 0 0 0
Sro1297_g260450 0 0 0 0
Sro1297_g260460 0 0 0 0
Sro1298_g260560 0 0 0 0
Sro1298_g260660 0 0 0 0
Sro129_g061710 0 0 0 0
Sro12_g009270 0 0 0 0
Sro1302_g260900 0 0 0 0
Sro1303_g260970 0 0 0 0
Sro1303_g261020 0 0 0 0
Sro1305_g261160 0 0 0 0
Sro1305_g261200 0 0 0 0
Sro1305_g261210 0 0 0 0
Sro1308_g261400 0 0 0 0
Sro1308_g261490 0 0 0 0
Sro130_g061920 0 0 0 0
Sro130_g061980 0 0 0 0
Sro1312_g261840 0 0 0 0
Sro1315_g262020 0 0 0 0
Sro1315_g262100 0 0 0 0
Sro1318_g262200 0 0 0 0
Sro1319_g262240 0 0 0 0
Sro131_g062290 0 0 0 0
Sro131_g062300 0 0 0 0
Sro1321_g262470 0 0 0 0
Sro1321_g262500 0 0 0 0
Sro1321_g262510 0 0 0 0
Sro1324_g262820 0 0 0 0
Sro1325_g262850 0 0 0 0
Sro1325_g262950 0 0 0 0
Sro1325_g262970 0 0 0 0
Sro1327_g263080 0 0 0 0
Sro1327_g263100 0 0 0 0
Sro132_g062460 0 0 0 0
Sro132_g062550 0 0 0 0
Sro132_g062810 0 0 0 0
Sro1333_g263640 0 0 0 0
Sro1334_g263800 0 0 0 0
Sro1334_g263820 0 0 0 0
Sro1334_g263840 0 0 0 0
Sro1335_g263950 0 0 0 0
Sro1337_g264130 0 0 0 0
Sro133_g062850 0 0 0 0
Sro133_g062980 0 0 0 0
Sro1343_g264660 0 0 0 0
Sro1343_g264670 0 0 0 0
Sro1346_g264870 0 0 0 0
Sro134_g063400 0 0 0 0
Sro1350_g265140 0 0 0 0
Sro1351_g265250 0 0 0 0
Sro1356_g265660 0 0 0 0
Sro1357_g265760 0 0 0 0
Sro1357_g265810 0 0 0 0
Sro1358_g265900 0 0 0 0
Sro1359_g265990 0 0 0 0
Sro135_g063830 0 0 0 0
Sro135_g063860 0 0 0 0
Sro1360_g266100 0 0 0 0
Sro1360_g266140 0 0 0 0
Sro1361_g266200 0 0 0 0
Sro1361_g266230 0 0 0 0
Sro1362_g266320 0 0 0 0
Sro1365_g266550 0 0 0 0
Sro1368_g266780 0 0 0 0
