t15 t1 t3
Sro1008_g230640 -0.116893274775328 -0.467446425178188 -1.1610963871804
Sro1009_g230650 0.177466774637136 0.201502054715846 0.0572031041174903
Sro1009_g230680 0.757364587925837 -0.421869676560718 0.00161873204057879
Sro1009_g230700 -1.10152796035778 -0.103541875583616 -0.436652017508204
Sro1009_g230710 -0.888042678538421 -1.43513324517603 -0.165151355719819
Sro1009_g230720 0.0314857459977095 -2.40436975553118 -1.05980622974139
Sro1009_g230730 -0.400316950150755 -0.817405002935183 -0.931999187834828
Sro1009_g230750 -0.070342303531566 -1.54747299464384 -1.29944742699281
Sro100_g051080 0.420717891511804 -0.251835230290525 -2.99862476285374
Sro100_g051090 0.889211157489374 -0.145571562671269 1.57454413957426
Sro100_g051100 0.850308958443713 -0.00326224155934133 1.20373078853661
Sro100_g051110 -0.185580902357958 -1.28352160236959 0.189240897424675
Sro100_g051120 -0.0341575425258536 -0.67882848250423 -1.24325951168477
Sro100_g051130 -2.27638204870587 -2.42285678440594 -1.86206719295541
Sro100_g051140 2.94937902094349 -0.451135489396707 -1.2188930364372
Sro100_g051150 0.501800414115393 -1.39948310927729 -2.14032424135623
Sro100_g051160 -0.783012985757184 0.0793188845197693 -0.826913213779691
Sro100_g051180 -0.608807205820334 -1.52656360194118 0.604905165197987
Sro100_g051210 2.89150781359496 -0.62521516132477 1.7784433290756
Sro100_g051230 0.72051335565043 -0.567659355389516 -2.17114736367346
Sro100_g051240 0.578104682439383 -0.908390322128164 -1.46677114198055
Sro100_g051260 -0.0933125918635608 0.0432556675570924 -0.705099869457397
Sro100_g051270 0.14546883426097 -0.0674025642323925 -0.696348302513924
Sro100_g051280 1.61211516043601 0.289964130197025 0.0407106249984147
Sro100_g051290 0.463187122089307 0.405807778008971 0.188647378900361
Sro100_g051300 -0.0981633405684353 -0.102425428261621 1.55861214401664
Sro100_g051310 0.259899337120975 -0.076236819398738 -0.518131588595738
