padjScreen t15 t1 t3
Sro1119_g243140 7.7041569370843e-08 1 0.53866001386718 2.15987217740434e-09
Sro18_g012680 7.74457133407328e-08 1 1 3.61966949272468e-10
Sro511_g157470 7.93185931060501e-08 1 1 3.56111949857535e-10
Sro861_g212300 8.38543632055536e-08 1 0.138771639388427 3.7696748962026e-09
Sro351_g123930 8.53527523108845e-08 0.0150102948883083 0.608373360621413 4.57861844991139e-08
Sro2117_g315260 8.58406576118674e-08 0.0155211280070049 0.832594353546118 3.9924169571824e-08
Sro1122_g243470 8.82424331356686e-08 0.782721626448162 0.00519733772746133 5.91240968930577e-08
Sro17_g012220 8.90272450440675e-08 1 0.443733350808655 2.91430071106029e-09
Sro2274_g321570 8.90272450440675e-08 0.992271335575781 0.0745533847074033 7.61913884835038e-09
Sro2285_g321980 8.90272450440675e-08 7.89504453470903e-07 0.0820163811393877 0.104393463841432
Sro536_g162200 8.90272450440675e-08 0.881685898272016 0.197697854684984 6.19688225203359e-09
Sro96_g049670 8.90272450440675e-08 1 1 5.5192152963144e-10
Sro227_g092440 8.98103834184659e-08 1 1 2.76784534883472e-10
Sro565_g167670 8.99992024695626e-08 0.293414272815258 1 4.6476543568888e-09
Sro1534_g280480 9.10176868627928e-08 0.776722437519205 1 3.03818820370292e-09
Sro21_g015010 9.10176868627928e-08 1 1 1.00561639154264e-09
Sro369_g128090 9.16628167582563e-08 1 1 2.00386659606353e-10
Sro184_g079940 9.23633488074562e-08 1 1 2.01998799130748e-10
Sro40_g024800 1.01511942224424e-07 1 1 1.08298782171117e-09
Sro3076_g343330 1.02457152564974e-07 1 1 2.93343752640536e-10
Sro22_g015270 1.0827030782015e-07 1 1 1.02193326567036e-09
Sro1011_g230980 1.09987977955567e-07 1 1 3.24327447960138e-10
Sro269_g104060 1.09987977955567e-07 1 1 3.98396440178365e-10
Sro2556_g331160 1.1315032118571e-07 0.329499540272309 1 5.9662945931552e-09
Sro483_g152050 1.13395555779415e-07 1 1 6.00377456904545e-10
Sro1254_g256430 1.14668966196645e-07 1 1 4.79615769596731e-10
Sro89_g047140 1.2308893012127e-07 1 1 2.7651549986801e-10
Sro137_g064580 1.24317453893954e-07 1 1 4.46607125095282e-10
Sro1683_g290920 1.24910577096386e-07 1 0.0076752036262026 1.09224459853748e-07
Sro1305_g261220 1.27295813877759e-07 0.418796922534466 1 4.43873790124172e-09
