padjScreen t15 t1 t3 t6 t9
Sro1023_g232560 0.0073321350352815 0.0709074525860542 1 0.0436749375728164 1 1
Sro1024_g232600 0.382670463683371 NA NA NA NA NA
Sro1024_g232610 0.9422803052224 NA NA NA NA NA
Sro1024_g232620 0.562574818410035 NA NA NA NA NA
Sro1024_g232630 0.00145530671627393 1 1 1 0.000315921088123536 1
Sro1024_g232640 0.0126755295175864 1 1 1 0.00440013089535968 1
Sro1024_g232650 0.805068935299175 NA NA NA NA NA
Sro1024_g232660 0.474714214650501 NA NA NA NA NA
Sro1024_g232670 0.777593096895728 NA NA NA NA NA
Sro1024_g232680 0.147704807930066 NA NA NA NA NA
Sro1024_g232690 0.0025413462026696 1 0.182855259952147 0.0123681339436788 1 1
Sro1024_g232700 0.898953093568056 NA NA NA NA NA
Sro1024_g232710 0.948351590383996 NA NA NA NA NA
Sro1024_g232720 0.443465929121994 NA NA NA NA NA
Sro1025_g232740 0.361987549857494 NA NA NA NA NA
Sro1025_g232750 0.349079333189916 NA NA NA NA NA
Sro1025_g232780 0.779594427123272 NA NA NA NA NA
Sro1025_g232790 0.695022071759976 NA NA NA NA NA
Sro1025_g232800 0.765373991308031 NA NA NA NA NA
Sro1025_g232810 0.306169512676692 NA NA NA NA NA
Sro1025_g232820 0.13191205380245 NA NA NA NA NA
Sro1025_g232830 0.388931299266696 NA NA NA NA NA
Sro1026_g232860 0.00378199251215952 1 1 1 0.00235494987319901 0.431120251438535
Sro1026_g232870 0.830448493291179 NA NA NA NA NA
Sro1026_g232880 0.468875703314709 NA NA NA NA NA
Sro1026_g232890 0.159472037495358 NA NA NA NA NA
Sro1026_g232900 0.108094545344814 NA NA NA NA NA
Sro1026_g232910 0.589012185522318 NA NA NA NA NA
Sro1026_g232920 0.852417524089967 NA NA NA NA NA
Sro1026_g232930 0.178127616439655 NA NA NA NA NA
Sro1026_g232940 0.0451782311315275 1 1 1 0.00504609079491861 1
Sro1026_g232960 0.243849338998548 NA NA NA NA NA
Sro1026_g232970 0.220653706997229 NA NA NA NA NA
Sro1027_g232980 0.0622278269037372 NA NA NA NA NA
Sro1027_g232990 0.610127053782162 NA NA NA NA NA
Sro1027_g233000 0.101597732054383 NA NA NA NA NA
Sro1027_g233010 0.20561906137183 NA NA NA NA NA
Sro1027_g233020 0.057791039436519 NA NA NA NA NA
Sro1027_g233030 0.245843928317871 NA NA NA NA NA
Sro1027_g233040 5.54005804066794e-06 1 1 1 1.54395121330885e-06 0.131909509725384
